Sr. No.,State Name,Total Electric Vehicle,Total Non-Electric Vehicle,Total
1,Andaman & Nicobar Island,162,"1,46,945","1,47,107"
2,Arunachal Pradesh,20,"2,52,965","2,52,985"
3,Assam,64766,"46,77,053","47,41,819"
4,Bihar,83335,"1,04,07,078","1,04,90,413"
5,Chandigarh,2812,"7,46,881","7,49,693"
6,Chhattisgarh,20966,"68,36,200","68,57,166"
7,Delhi,"1,56,393","76,85,600","78,41,993"
8,Goa,3870,"10,71,570","10,75,440"
9,Gujarat,45272,"2,06,05,484","2,06,50,756"
10,Haryana,37035,"1,07,78,270","1,08,15,305"
11,Himachal Pradesh,1175,"19,64,754","19,65,929"
12,Jammu and Kashmir,2941,"18,69,962","18,72,903"
13,Jharkhand,16811,"64,86,937","65,03,748"
14,Karnataka,"1,20,532","2,68,70,303","2,69,90,835"
15,Kerala,30775,"1,57,74,078","1,58,04,853"
16,Ladakh,26,38302,38328
17,Manipur,586,"4,99,324","4,99,910"
18,Meghalaya,49,"4,59,001","4,59,050"
19,Mizoram,21,"3,15,626","3,15,647"
20,Nagaland,58,"3,39,129","3,39,187"
21,Odisha,23371,"98,45,073","98,68,444"
22,Puducherry,2149,"12,13,735","12,15,884"
23,Punjab,14804,"1,24,63,019","1,24,77,823"
24,Rajasthan,81338,"1,73,27,388","1,74,08,726"
25,Sikkim,21,97189,97210
26,Tamil Nadu,82051,"2,98,42,376","2,99,24,427"
27,Tripura,9262,"6,50,026","6,59,288"
28,UT of DNH and DD,183,"3,07,671","3,07,854"
29,Uttarakhand,31008,"33,12,041","33,43,049"
30,Uttar Pradesh,"3,37,180","4,00,92,490","4,04,29,670"
31,West Bengal,48767,"1,41,34,171","1,41,82,938"
